Date,Predicted_Price,Lower_Bound,Upper_Bound
2026-01-02,52.38,48.43,56.35
2026-01-05,52.59,48.35,56.73
2026-01-06,52.59,48.39,56.77
2026-01-07,52.63,48.42,56.98
2026-01-08,52.51,48.15,56.54
2026-01-09,52.47,48.59,56.54
2026-01-12,52.29,48.09,56.56
2026-01-13,52.16,47.98,56.22
2026-01-14,52.09,48.03,56.18
2026-01-15,51.86,47.76,56.16
2026-01-16,51.73,47.86,56.0
2026-01-17,50.26,46.01,54.63
2026-01-18,50.11,45.76,54.17
2026-01-19,51.35,47.28,55.72
2026-01-20,51.19,47.09,55.49
2026-01-21,51.09,46.63,54.84
2026-01-22,50.86,46.6,55.12
2026-01-23,50.74,46.28,54.95
2026-01-24,49.3,45.32,53.46
2026-01-25,49.19,45.02,53.37
2026-01-26,50.49,45.81,54.9
2026-01-27,50.39,46.35,54.6
2026-01-28,50.38,46.11,54.48
2026-01-29,50.23,45.88,54.16
2026-01-30,50.21,46.05,54.36
2026-01-31,48.86,44.89,53.24
2026-02-01,48.86,44.73,53.16
2026-02-02,50.25,46.15,54.57
2026-02-03,50.26,46.17,54.55
2026-02-04,50.35,46.29,54.63
2026-02-05,50.3,46.04,54.3
2026-02-06,50.36,46.08,54.35
2026-02-07,49.1,45.01,53.37
2026-02-08,49.17,45.2,53.46
2026-02-09,50.63,46.53,54.63
2026-02-10,50.69,46.81,54.92
2026-02-11,50.82,46.76,54.94
2026-02-12,50.81,46.56,54.92
2026-02-13,50.89,46.91,54.53
2026-02-14,49.64,45.35,54.0
2026-02-15,49.71,45.57,53.8
2026-02-16,51.17,46.89,54.93
2026-02-17,51.21,47.24,55.72
2026-02-18,51.31,47.05,55.36
2026-02-19,51.27,46.71,55.22
2026-02-20,51.32,47.35,55.8
2026-02-21,50.02,46.03,54.24
2026-02-22,50.05,45.88,54.63
2026-02-23,51.46,47.41,55.66
2026-02-24,51.46,47.18,55.55
2026-02-25,51.52,47.25,55.71
2026-02-26,51.43,47.2,55.47
2026-02-27,51.43,47.51,55.61
2026-02-28,50.11,45.81,54.58
2026-03-01,50.1,46.07,54.06
2026-03-02,51.48,47.31,55.72
2026-03-03,51.46,47.45,55.4
2026-03-04,51.51,47.4,55.74
2026-03-05,51.41,47.29,55.77
2026-03-06,51.41,47.58,55.68
2026-03-07,50.09,45.91,54.33
2026-03-08,50.09,45.79,54.31
2026-03-09,51.49,47.45,55.65
2026-03-10,51.48,47.39,55.71
2026-03-11,51.55,47.49,55.57
2026-03-12,51.47,47.35,55.48
2026-03-13,51.51,47.58,55.71
2026-03-14,50.21,46.29,54.58
2026-03-15,50.24,45.71,54.31
2026-03-16,51.66,47.36,55.61
2026-03-17,51.69,47.48,55.89
2026-03-18,51.78,47.64,55.82
2026-03-19,51.73,47.75,56.22
2026-03-20,51.79,47.52,55.58
2026-03-21,50.51,46.34,54.49
2026-03-22,50.56,46.24,54.92
2026-03-23,52.0,47.6,55.8
2026-03-24,52.04,47.76,56.28
2026-03-25,52.15,47.74,55.99
2026-03-26,52.11,47.71,56.1
2026-03-27,52.18,48.05,56.31
2026-03-28,50.91,46.84,55.33
2026-03-29,50.97,46.72,55.06
2026-03-30,52.41,48.22,56.72
2026-03-31,52.45,48.26,56.8
